16.8862 	EXP 	window1: blendMode = 'avg'
16.9031 	EXP 	window1: blendMode = 'avg'
16.9197 	EXP 	window1: blendMode = 'avg'
16.9361 	EXP 	window1: blendMode = 'avg'
16.9528 	EXP 	window1: blendMode = 'avg'
16.9697 	EXP 	window1: blendMode = 'avg'
16.9862 	EXP 	window1: blendMode = 'avg'
17.0028 	EXP 	window1: blendMode = 'avg'
17.0194 	EXP 	window1: blendMode = 'avg'
17.0360 	EXP 	window1: blendMode = 'avg'
17.0527 	EXP 	window1: blendMode = 'avg'
17.0695 	EXP 	window1: blendMode = 'avg'
17.0861 	EXP 	window1: blendMode = 'avg'
17.1027 	EXP 	window1: blendMode = 'avg'
17.1194 	EXP 	window1: blendMode = 'avg'
17.1361 	EXP 	window1: blendMode = 'avg'
17.1527 	EXP 	window1: blendMode = 'avg'
17.1694 	EXP 	window1: blendMode = 'avg'
17.1861 	EXP 	window1: blendMode = 'avg'
17.2027 	EXP 	window1: blendMode = 'avg'
17.2193 	EXP 	window1: blendMode = 'avg'
17.2360 	EXP 	window1: blendMode = 'avg'
17.2527 	EXP 	window1: blendMode = 'avg'
17.2694 	EXP 	window1: blendMode = 'avg'
17.2861 	EXP 	window1: blendMode = 'avg'
17.3027 	EXP 	window1: blendMode = 'avg'
17.3193 	EXP 	window1: blendMode = 'avg'
17.3360 	EXP 	window1: blendMode = 'avg'
17.3527 	EXP 	window1: blendMode = 'avg'
17.3693 	EXP 	window1: blendMode = 'avg'
17.3859 	EXP 	window1: blendMode = 'avg'
17.4027 	EXP 	window1: blendMode = 'avg'
17.4193 	EXP 	window1: blendMode = 'avg'
17.4366 	EXP 	window1: blendMode = 'avg'
17.4526 	EXP 	window1: blendMode = 'avg'
17.4692 	EXP 	window1: blendMode = 'avg'
17.4860 	EXP 	window1: blendMode = 'avg'
17.5026 	EXP 	window1: blendMode = 'avg'
17.5198 	EXP 	window1: blendMode = 'avg'
17.5357 	EXP 	select_eeg_system: autoDraw = False
17.5357 	EXP 	instr_text: autoDraw = True
17.5360 	EXP 	window1: blendMode = 'avg'
17.5526 	EXP 	window1: blendMode = 'avg'
17.5692 	EXP 	window1: blendMode = 'avg'
17.5859 	EXP 	window1: blendMode = 'avg'
17.6025 	EXP 	window1: blendMode = 'avg'
17.6194 	EXP 	window1: blendMode = 'avg'
17.6370 	EXP 	window1: blendMode = 'avg'
17.6526 	EXP 	window1: blendMode = 'avg'
17.6692 	EXP 	window1: blendMode = 'avg'
17.6860 	EXP 	window1: blendMode = 'avg'
17.7026 	EXP 	window1: blendMode = 'avg'
17.7194 	EXP 	window1: blendMode = 'avg'
17.7361 	EXP 	window1: blendMode = 'avg'
17.7525 	EXP 	window1: blendMode = 'avg'
17.7691 	EXP 	window1: blendMode = 'avg'
17.7858 	EXP 	window1: blendMode = 'avg'
17.8025 	EXP 	window1: blendMode = 'avg'
17.8192 	EXP 	window1: blendMode = 'avg'
17.8359 	EXP 	window1: blendMode = 'avg'
17.8525 	EXP 	window1: blendMode = 'avg'
17.8691 	EXP 	window1: blendMode = 'avg'
17.8858 	EXP 	window1: blendMode = 'avg'
17.9026 	EXP 	window1: blendMode = 'avg'
17.9199 	EXP 	window1: blendMode = 'avg'
17.9358 	EXP 	window1: blendMode = 'avg'
17.9525 	EXP 	window1: blendMode = 'avg'
17.9691 	EXP 	window1: blendMode = 'avg'
17.9859 	EXP 	window1: blendMode = 'avg'
18.0026 	EXP 	window1: blendMode = 'avg'
18.0191 	EXP 	window1: blendMode = 'avg'
18.0357 	EXP 	window1: blendMode = 'avg'
18.0525 	EXP 	window1: blendMode = 'avg'
18.0692 	EXP 	window1: blendMode = 'avg'
18.0857 	EXP 	window1: blendMode = 'avg'
18.1025 	EXP 	window1: blendMode = 'avg'
18.1190 	EXP 	window1: blendMode = 'avg'
18.1357 	EXP 	window1: blendMode = 'avg'
18.1524 	EXP 	window1: blendMode = 'avg'
18.1691 	EXP 	window1: blendMode = 'avg'
18.1858 	EXP 	window1: blendMode = 'avg'
18.2024 	EXP 	window1: blendMode = 'avg'
18.2190 	EXP 	window1: blendMode = 'avg'
18.2356 	EXP 	window1: blendMode = 'avg'
18.2523 	EXP 	window1: blendMode = 'avg'
18.2691 	EXP 	window1: blendMode = 'avg'
18.2857 	EXP 	window1: blendMode = 'avg'
18.3024 	EXP 	window1: blendMode = 'avg'
18.3190 	EXP 	window1: blendMode = 'avg'
18.3356 	EXP 	window1: blendMode = 'avg'
18.3523 	EXP 	window1: blendMode = 'avg'
18.3689 	EXP 	window1: blendMode = 'avg'
18.3858 	EXP 	window1: blendMode = 'avg'
18.4023 	EXP 	window1: blendMode = 'avg'
18.4189 	EXP 	window1: blendMode = 'avg'
18.4356 	EXP 	window1: blendMode = 'avg'
18.4522 	EXP 	window1: blendMode = 'avg'
18.4690 	EXP 	window1: blendMode = 'avg'
18.4870 	EXP 	window1: blendMode = 'avg'
18.5026 	EXP 	window1: blendMode = 'avg'
18.5189 	EXP 	window1: blendMode = 'avg'
18.5356 	EXP 	window1: blendMode = 'avg'
18.5522 	EXP 	window1: blendMode = 'avg'
18.5689 	EXP 	window1: blendMode = 'avg'
18.5855 	EXP 	window1: blendMode = 'avg'
18.6023 	EXP 	window1: blendMode = 'avg'
18.6189 	EXP 	window1: blendMode = 'avg'
18.6355 	EXP 	window1: blendMode = 'avg'
18.6522 	EXP 	window1: blendMode = 'avg'
18.6690 	EXP 	window1: blendMode = 'avg'
18.6855 	EXP 	window1: blendMode = 'avg'
18.7024 	EXP 	window1: blendMode = 'avg'
18.7190 	EXP 	window1: blendMode = 'avg'
18.7356 	EXP 	window1: blendMode = 'avg'
18.7522 	EXP 	window1: blendMode = 'avg'
18.7688 	EXP 	window1: blendMode = 'avg'
18.7855 	EXP 	window1: blendMode = 'avg'
18.8021 	EXP 	window1: blendMode = 'avg'
18.8189 	EXP 	window1: blendMode = 'avg'
18.8355 	EXP 	window1: blendMode = 'avg'
18.8523 	EXP 	window1: blendMode = 'avg'
18.8688 	EXP 	window1: blendMode = 'avg'
18.8855 	EXP 	window1: blendMode = 'avg'
18.9022 	EXP 	window1: blendMode = 'avg'
18.9189 	EXP 	window1: blendMode = 'avg'
18.9356 	EXP 	window1: blendMode = 'avg'
18.9521 	EXP 	window1: blendMode = 'avg'
18.9689 	EXP 	window1: blendMode = 'avg'
18.9855 	EXP 	window1: blendMode = 'avg'
19.0023 	EXP 	window1: blendMode = 'avg'
19.0189 	EXP 	window1: blendMode = 'avg'
19.0355 	EXP 	window1: blendMode = 'avg'
19.0521 	EXP 	window1: blendMode = 'avg'
19.0687 	EXP 	window1: blendMode = 'avg'
19.0854 	EXP 	window1: blendMode = 'avg'
19.1021 	EXP 	window1: blendMode = 'avg'
19.1187 	EXP 	window1: blendMode = 'avg'
19.1354 	EXP 	window1: blendMode = 'avg'
19.1522 	EXP 	window1: blendMode = 'avg'
19.1687 	EXP 	window1: blendMode = 'avg'
19.1854 	EXP 	window1: blendMode = 'avg'
19.2020 	EXP 	window1: blendMode = 'avg'
19.2187 	EXP 	window1: blendMode = 'avg'
19.2353 	EXP 	window1: blendMode = 'avg'
19.2521 	EXP 	window1: blendMode = 'avg'
