22.0617 	EXP 	window1: blendMode = 'avg'
22.0783 	EXP 	window1: blendMode = 'avg'
22.0950 	EXP 	window1: blendMode = 'avg'
22.1117 	EXP 	window1: blendMode = 'avg'
22.1284 	EXP 	window1: blendMode = 'avg'
22.1450 	EXP 	window1: blendMode = 'avg'
22.1618 	EXP 	window1: blendMode = 'avg'
22.1785 	EXP 	window1: blendMode = 'avg'
22.1950 	EXP 	window1: blendMode = 'avg'
22.2118 	EXP 	window1: blendMode = 'avg'
22.2283 	EXP 	window1: blendMode = 'avg'
22.2450 	EXP 	window1: blendMode = 'avg'
22.2616 	EXP 	window1: blendMode = 'avg'
22.2783 	EXP 	window1: blendMode = 'avg'
22.2950 	EXP 	window1: blendMode = 'avg'
22.3117 	EXP 	window1: blendMode = 'avg'
22.3283 	EXP 	window1: blendMode = 'avg'
22.3449 	EXP 	window1: blendMode = 'avg'
22.3616 	EXP 	window1: blendMode = 'avg'
22.3784 	EXP 	window1: blendMode = 'avg'
22.3950 	EXP 	window1: blendMode = 'avg'
22.4116 	EXP 	window1: blendMode = 'avg'
22.4283 	EXP 	window1: blendMode = 'avg'
22.4449 	EXP 	window1: blendMode = 'avg'
22.4616 	EXP 	window1: blendMode = 'avg'
22.4782 	EXP 	window1: blendMode = 'avg'
22.4949 	EXP 	window1: blendMode = 'avg'
22.5117 	EXP 	window1: blendMode = 'avg'
22.5282 	EXP 	window1: blendMode = 'avg'
22.5451 	EXP 	window1: blendMode = 'avg'
22.5616 	EXP 	window1: blendMode = 'avg'
22.5783 	EXP 	window1: blendMode = 'avg'
22.5949 	EXP 	window1: blendMode = 'avg'
22.6115 	EXP 	window1: blendMode = 'avg'
22.6282 	EXP 	window1: blendMode = 'avg'
22.6449 	EXP 	window1: blendMode = 'avg'
22.6615 	EXP 	window1: blendMode = 'avg'
22.6782 	EXP 	window1: blendMode = 'avg'
22.6948 	EXP 	window1: blendMode = 'avg'
22.7114 	EXP 	window1: blendMode = 'avg'
22.7283 	EXP 	window1: blendMode = 'avg'
22.7449 	EXP 	window1: blendMode = 'avg'
22.7615 	EXP 	window1: blendMode = 'avg'
22.7782 	EXP 	window1: blendMode = 'avg'
22.7948 	EXP 	window1: blendMode = 'avg'
22.8115 	EXP 	window1: blendMode = 'avg'
22.8281 	EXP 	window1: blendMode = 'avg'
22.8448 	EXP 	window1: blendMode = 'avg'
22.8615 	EXP 	window1: blendMode = 'avg'
22.8781 	EXP 	window1: blendMode = 'avg'
22.8948 	EXP 	window1: blendMode = 'avg'
22.9114 	EXP 	window1: blendMode = 'avg'
22.9281 	EXP 	window1: blendMode = 'avg'
22.9448 	EXP 	window1: blendMode = 'avg'
22.9614 	EXP 	window1: blendMode = 'avg'
22.9781 	EXP 	window1: blendMode = 'avg'
22.9947 	EXP 	window1: blendMode = 'avg'
23.0114 	EXP 	window1: blendMode = 'avg'
23.0280 	EXP 	window1: blendMode = 'avg'
23.0447 	EXP 	window1: blendMode = 'avg'
23.0614 	EXP 	window1: blendMode = 'avg'
23.0781 	EXP 	window1: blendMode = 'avg'
23.0947 	EXP 	window1: blendMode = 'avg'
23.1113 	EXP 	window1: blendMode = 'avg'
23.1280 	EXP 	window1: blendMode = 'avg'
23.1449 	EXP 	window1: blendMode = 'avg'
23.1613 	EXP 	window1: blendMode = 'avg'
23.1781 	EXP 	window1: blendMode = 'avg'
23.1949 	EXP 	window1: blendMode = 'avg'
23.2113 	EXP 	window1: blendMode = 'avg'
23.2291 	EXP 	window1: blendMode = 'avg'
23.2447 	EXP 	window1: blendMode = 'avg'
23.2614 	EXP 	window1: blendMode = 'avg'
23.2780 	EXP 	window1: blendMode = 'avg'
23.2947 	EXP 	window1: blendMode = 'avg'
23.3113 	EXP 	window1: blendMode = 'avg'
23.3280 	EXP 	window1: blendMode = 'avg'
23.3447 	EXP 	window1: blendMode = 'avg'
23.3613 	EXP 	window1: blendMode = 'avg'
23.3779 	EXP 	window1: blendMode = 'avg'
23.3946 	EXP 	window1: blendMode = 'avg'
23.4114 	EXP 	window1: blendMode = 'avg'
23.4446 	EXP 	window1: blendMode = 'avg'
23.4797 	EXP 	window1: blendMode = 'avg'
23.4950 	EXP 	window1: blendMode = 'avg'
23.5161 	EXP 	window1: blendMode = 'avg'
23.5423 	EXP 	window1: blendMode = 'avg'
23.5615 	EXP 	window1: blendMode = 'avg'
23.5779 	EXP 	window1: blendMode = 'avg'
23.5945 	EXP 	window1: blendMode = 'avg'
23.6113 	EXP 	window1: blendMode = 'avg'
23.6279 	EXP 	window1: blendMode = 'avg'
23.6445 	EXP 	window1: blendMode = 'avg'
23.6612 	EXP 	window1: blendMode = 'avg'
