27.3483 	EXP 	window1: blendMode = 'avg'
27.3651 	EXP 	window1: blendMode = 'avg'
27.3816 	EXP 	window1: blendMode = 'avg'
27.3984 	EXP 	window1: blendMode = 'avg'
27.4150 	EXP 	window1: blendMode = 'avg'
27.4316 	EXP 	window1: blendMode = 'avg'
27.4483 	EXP 	window1: blendMode = 'avg'
27.4650 	EXP 	window1: blendMode = 'avg'
27.4818 	EXP 	window1: blendMode = 'avg'
27.4983 	EXP 	window1: blendMode = 'avg'
27.5150 	EXP 	window1: blendMode = 'avg'
27.5316 	EXP 	window1: blendMode = 'avg'
27.5482 	EXP 	window1: blendMode = 'avg'
27.5649 	EXP 	window1: blendMode = 'avg'
27.5816 	EXP 	window1: blendMode = 'avg'
27.5984 	EXP 	window1: blendMode = 'avg'
27.6150 	EXP 	window1: blendMode = 'avg'
27.6316 	EXP 	window1: blendMode = 'avg'
27.6490 	EXP 	window1: blendMode = 'avg'
27.6649 	EXP 	window1: blendMode = 'avg'
27.6816 	EXP 	window1: blendMode = 'avg'
27.6982 	EXP 	window1: blendMode = 'avg'
27.7149 	EXP 	window1: blendMode = 'avg'
27.7315 	EXP 	window1: blendMode = 'avg'
27.7482 	EXP 	window1: blendMode = 'avg'
27.7649 	EXP 	window1: blendMode = 'avg'
27.7815 	EXP 	window1: blendMode = 'avg'
27.7989 	EXP 	window1: blendMode = 'avg'
27.8150 	EXP 	window1: blendMode = 'avg'
27.8315 	EXP 	window1: blendMode = 'avg'
27.8482 	EXP 	window1: blendMode = 'avg'
27.8648 	EXP 	window1: blendMode = 'avg'
27.8815 	EXP 	window1: blendMode = 'avg'
27.8981 	EXP 	window1: blendMode = 'avg'
27.9149 	EXP 	window1: blendMode = 'avg'
27.9315 	EXP 	window1: blendMode = 'avg'
27.9482 	EXP 	window1: blendMode = 'avg'
27.9649 	EXP 	window1: blendMode = 'avg'
27.9814 	EXP 	window1: blendMode = 'avg'
27.9999 	EXP 	window1: blendMode = 'avg'
28.0154 	EXP 	window1: blendMode = 'avg'
28.0402 	EXP 	window1: blendMode = 'avg'
28.0655 	EXP 	window1: blendMode = 'avg'
28.0816 	EXP 	window1: blendMode = 'avg'
28.0983 	EXP 	window1: blendMode = 'avg'
28.1177 	EXP 	window1: blendMode = 'avg'
28.1316 	EXP 	window1: blendMode = 'avg'
28.1483 	EXP 	window1: blendMode = 'avg'
28.1662 	EXP 	window1: blendMode = 'avg'
28.1816 	EXP 	window1: blendMode = 'avg'
28.2010 	EXP 	window1: blendMode = 'avg'
28.2148 	EXP 	window1: blendMode = 'avg'
28.2315 	EXP 	window1: blendMode = 'avg'
28.2481 	EXP 	window1: blendMode = 'avg'
28.2647 	EXP 	window1: blendMode = 'avg'
28.2814 	EXP 	window1: blendMode = 'avg'
28.2981 	EXP 	window1: blendMode = 'avg'
28.3148 	EXP 	window1: blendMode = 'avg'
28.3314 	EXP 	window1: blendMode = 'avg'
28.3480 	EXP 	window1: blendMode = 'avg'
28.3646 	EXP 	window1: blendMode = 'avg'
28.3812 	EXP 	window1: blendMode = 'avg'
28.3980 	EXP 	window1: blendMode = 'avg'
28.4147 	EXP 	window1: blendMode = 'avg'
28.4313 	EXP 	window1: blendMode = 'avg'
28.4486 	EXP 	window1: blendMode = 'avg'
28.4648 	EXP 	window1: blendMode = 'avg'
28.4814 	EXP 	window1: blendMode = 'avg'
28.4980 	EXP 	window1: blendMode = 'avg'
28.5147 	EXP 	window1: blendMode = 'avg'
28.5313 	EXP 	window1: blendMode = 'avg'
28.5479 	EXP 	window1: blendMode = 'avg'
28.5646 	EXP 	window1: blendMode = 'avg'
28.5813 	EXP 	window1: blendMode = 'avg'
28.5979 	EXP 	window1: blendMode = 'avg'
28.6147 	EXP 	window1: blendMode = 'avg'
28.6312 	EXP 	window1: blendMode = 'avg'
28.6479 	EXP 	window1: blendMode = 'avg'
28.6646 	EXP 	window1: blendMode = 'avg'
28.6812 	EXP 	window1: blendMode = 'avg'
28.6979 	EXP 	window1: blendMode = 'avg'
28.7146 	EXP 	window1: blendMode = 'avg'
28.7312 	EXP 	window1: blendMode = 'avg'
28.7479 	EXP 	window1: blendMode = 'avg'
28.7646 	EXP 	window1: blendMode = 'avg'
28.7812 	EXP 	window1: blendMode = 'avg'
28.7990 	EXP 	window1: blendMode = 'avg'
28.8146 	EXP 	window1: blendMode = 'avg'
28.8312 	EXP 	window1: blendMode = 'avg'
28.8479 	EXP 	window1: blendMode = 'avg'
28.8650 	EXP 	window1: blendMode = 'avg'
28.8812 	EXP 	window1: blendMode = 'avg'
28.8979 	EXP 	window1: blendMode = 'avg'
28.9145 	EXP 	window1: blendMode = 'avg'
28.9312 	EXP 	window1: blendMode = 'avg'
28.9478 	EXP 	window1: blendMode = 'avg'
28.9645 	EXP 	window1: blendMode = 'avg'
28.9812 	EXP 	window1: blendMode = 'avg'
28.9979 	EXP 	window1: blendMode = 'avg'
29.0150 	EXP 	window1: blendMode = 'avg'
29.0312 	EXP 	window1: blendMode = 'avg'
29.0478 	EXP 	window1: blendMode = 'avg'
29.0644 	EXP 	window1: blendMode = 'avg'
29.0812 	EXP 	window1: blendMode = 'avg'
29.0978 	EXP 	window1: blendMode = 'avg'
29.1144 	EXP 	window1: blendMode = 'avg'
29.1312 	EXP 	window1: blendMode = 'avg'
29.1477 	EXP 	window1: blendMode = 'avg'
29.1644 	EXP 	window1: blendMode = 'avg'
29.1812 	EXP 	window1: blendMode = 'avg'
29.2013 	EXP 	window1: blendMode = 'avg'
29.2144 	EXP 	window1: blendMode = 'avg'
29.2312 	EXP 	window1: blendMode = 'avg'
29.2487 	EXP 	window1: blendMode = 'avg'
29.2644 	EXP 	window1: blendMode = 'avg'
29.2811 	EXP 	window1: blendMode = 'avg'
29.2977 	EXP 	window1: blendMode = 'avg'
29.3144 	EXP 	window1: blendMode = 'avg'
29.3312 	EXP 	window1: blendMode = 'avg'
29.3477 	EXP 	window1: blendMode = 'avg'
29.3643 	EXP 	window1: blendMode = 'avg'
29.3810 	EXP 	window1: blendMode = 'avg'
29.3976 	EXP 	window1: blendMode = 'avg'
29.4144 	EXP 	window1: blendMode = 'avg'
29.4311 	EXP 	window1: blendMode = 'avg'
29.4478 	EXP 	window1: blendMode = 'avg'
29.4643 	EXP 	window1: blendMode = 'avg'
29.4810 	EXP 	window1: blendMode = 'avg'
29.4976 	EXP 	window1: blendMode = 'avg'
29.5143 	EXP 	window1: blendMode = 'avg'
29.5309 	EXP 	window1: blendMode = 'avg'
29.5477 	EXP 	window1: blendMode = 'avg'
29.5643 	EXP 	window1: blendMode = 'avg'
29.5810 	EXP 	window1: blendMode = 'avg'
29.5976 	EXP 	window1: blendMode = 'avg'
29.6143 	EXP 	window1: blendMode = 'avg'
29.6310 	EXP 	window1: blendMode = 'avg'
29.6476 	EXP 	window1: blendMode = 'avg'
29.6651 	EXP 	window1: blendMode = 'avg'
29.6809 	EXP 	window1: blendMode = 'avg'
29.6977 	EXP 	window1: blendMode = 'avg'
29.7143 	EXP 	window1: blendMode = 'avg'
29.7310 	EXP 	window1: blendMode = 'avg'
29.7475 	EXP 	window1: blendMode = 'avg'
29.7643 	EXP 	window1: blendMode = 'avg'
29.7809 	EXP 	window1: blendMode = 'avg'
29.7985 	EXP 	window1: blendMode = 'avg'
29.8143 	EXP 	window1: blendMode = 'avg'
29.8309 	EXP 	window1: blendMode = 'avg'
29.8475 	EXP 	window1: blendMode = 'avg'
29.8642 	EXP 	window1: blendMode = 'avg'
29.8808 	EXP 	window1: blendMode = 'avg'
29.8975 	EXP 	window1: blendMode = 'avg'
29.9142 	EXP 	window1: blendMode = 'avg'
29.9308 	EXP 	window1: blendMode = 'avg'
29.9474 	EXP 	window1: blendMode = 'avg'
29.9649 	EXP 	window1: blendMode = 'avg'
29.9809 	EXP 	window1: blendMode = 'avg'
29.9975 	EXP 	window1: blendMode = 'avg'
30.0144 	EXP 	window1: blendMode = 'avg'
30.0310 	EXP 	window1: blendMode = 'avg'
30.0475 	EXP 	window1: blendMode = 'avg'
30.0642 	EXP 	window1: blendMode = 'avg'
30.0808 	EXP 	window1: blendMode = 'avg'
30.0974 	EXP 	window1: blendMode = 'avg'
30.1142 	EXP 	window1: blendMode = 'avg'
30.1307 	EXP 	window1: blendMode = 'avg'
30.1479 	EXP 	window1: blendMode = 'avg'
30.1641 	EXP 	window1: blendMode = 'avg'
30.1808 	EXP 	window1: blendMode = 'avg'
30.2008 	EXP 	window1: blendMode = 'avg'
30.2142 	EXP 	window1: blendMode = 'avg'
30.2307 	EXP 	window1: blendMode = 'avg'
30.2474 	EXP 	window1: blendMode = 'avg'
30.2640 	EXP 	window1: blendMode = 'avg'
30.2807 	EXP 	window1: blendMode = 'avg'
30.2974 	EXP 	window1: blendMode = 'avg'
