18.9856 	EXP 	window1: blendMode = 'avg'
19.0023 	EXP 	window1: blendMode = 'avg'
19.0189 	EXP 	window1: blendMode = 'avg'
19.0356 	EXP 	window1: blendMode = 'avg'
19.0523 	EXP 	window1: blendMode = 'avg'
19.0690 	EXP 	window1: blendMode = 'avg'
19.0856 	EXP 	window1: blendMode = 'avg'
19.1022 	EXP 	window1: blendMode = 'avg'
19.1190 	EXP 	window1: blendMode = 'avg'
19.1357 	EXP 	window1: blendMode = 'avg'
19.1525 	EXP 	window1: blendMode = 'avg'
19.1689 	EXP 	window1: blendMode = 'avg'
19.1857 	EXP 	window1: blendMode = 'avg'
19.2024 	EXP 	window1: blendMode = 'avg'
19.2190 	EXP 	window1: blendMode = 'avg'
19.2355 	EXP 	window1: blendMode = 'avg'
19.2522 	EXP 	window1: blendMode = 'avg'
19.2688 	EXP 	window1: blendMode = 'avg'
19.2856 	EXP 	window1: blendMode = 'avg'
19.3023 	EXP 	window1: blendMode = 'avg'
19.3189 	EXP 	window1: blendMode = 'avg'
19.3355 	EXP 	window1: blendMode = 'avg'
19.3522 	EXP 	window1: blendMode = 'avg'
19.3688 	EXP 	window1: blendMode = 'avg'
19.3855 	EXP 	window1: blendMode = 'avg'
19.4023 	EXP 	window1: blendMode = 'avg'
19.4188 	EXP 	window1: blendMode = 'avg'
19.4355 	EXP 	window1: blendMode = 'avg'
19.4522 	EXP 	window1: blendMode = 'avg'
19.4688 	EXP 	window1: blendMode = 'avg'
19.4855 	EXP 	window1: blendMode = 'avg'
19.5021 	EXP 	window1: blendMode = 'avg'
19.5189 	EXP 	window1: blendMode = 'avg'
19.5354 	EXP 	window1: blendMode = 'avg'
19.5521 	EXP 	window1: blendMode = 'avg'
19.5687 	EXP 	window1: blendMode = 'avg'
19.5854 	EXP 	window1: blendMode = 'avg'
19.6021 	EXP 	window1: blendMode = 'avg'
19.6187 	EXP 	window1: blendMode = 'avg'
19.6354 	EXP 	window1: blendMode = 'avg'
19.6520 	EXP 	window1: blendMode = 'avg'
19.6687 	EXP 	window1: blendMode = 'avg'
19.6854 	EXP 	window1: blendMode = 'avg'
19.7021 	EXP 	window1: blendMode = 'avg'
19.7189 	EXP 	window1: blendMode = 'avg'
19.7354 	EXP 	window1: blendMode = 'avg'
19.7520 	EXP 	window1: blendMode = 'avg'
19.7687 	EXP 	window1: blendMode = 'avg'
19.7854 	EXP 	window1: blendMode = 'avg'
19.8020 	EXP 	window1: blendMode = 'avg'
19.8187 	EXP 	window1: blendMode = 'avg'
19.8354 	EXP 	window1: blendMode = 'avg'
19.8520 	EXP 	window1: blendMode = 'avg'
19.8691 	EXP 	window1: blendMode = 'avg'
19.8853 	EXP 	window1: blendMode = 'avg'
19.9020 	EXP 	window1: blendMode = 'avg'
19.9187 	EXP 	window1: blendMode = 'avg'
19.9354 	EXP 	window1: blendMode = 'avg'
19.9520 	EXP 	window1: blendMode = 'avg'
19.9688 	EXP 	window1: blendMode = 'avg'
19.9853 	EXP 	window1: blendMode = 'avg'
20.0019 	EXP 	window1: blendMode = 'avg'
20.0186 	EXP 	window1: blendMode = 'avg'
20.0354 	EXP 	window1: blendMode = 'avg'
20.0521 	EXP 	window1: blendMode = 'avg'
20.0686 	EXP 	window1: blendMode = 'avg'
20.0853 	EXP 	window1: blendMode = 'avg'
20.1019 	EXP 	window1: blendMode = 'avg'
20.1189 	EXP 	window1: blendMode = 'avg'
20.1357 	EXP 	window1: blendMode = 'avg'
20.1522 	EXP 	window1: blendMode = 'avg'
20.1686 	EXP 	window1: blendMode = 'avg'
20.1858 	EXP 	window1: blendMode = 'avg'
20.2029 	EXP 	window1: blendMode = 'avg'
20.2190 	EXP 	window1: blendMode = 'avg'
20.2359 	EXP 	window1: blendMode = 'avg'
20.2529 	EXP 	window1: blendMode = 'avg'
20.2690 	EXP 	window1: blendMode = 'avg'
20.2859 	EXP 	window1: blendMode = 'avg'
20.3029 	EXP 	window1: blendMode = 'avg'
20.3189 	EXP 	window1: blendMode = 'avg'
20.3358 	EXP 	window1: blendMode = 'avg'
20.3530 	EXP 	window1: blendMode = 'avg'
20.3689 	EXP 	window1: blendMode = 'avg'
20.3859 	EXP 	window1: blendMode = 'avg'
20.4030 	EXP 	window1: blendMode = 'avg'
20.4189 	EXP 	window1: blendMode = 'avg'
20.4359 	EXP 	window1: blendMode = 'avg'
20.4529 	EXP 	window1: blendMode = 'avg'
20.4690 	EXP 	window1: blendMode = 'avg'
20.4860 	EXP 	window1: blendMode = 'avg'
20.5029 	EXP 	window1: blendMode = 'avg'
20.5190 	EXP 	window1: blendMode = 'avg'
20.5359 	EXP 	window1: blendMode = 'avg'
20.5525 	EXP 	window1: blendMode = 'avg'
20.5690 	EXP 	window1: blendMode = 'avg'
20.5859 	EXP 	window1: blendMode = 'avg'
20.6030 	EXP 	window1: blendMode = 'avg'
20.6192 	EXP 	window1: blendMode = 'avg'
20.6359 	EXP 	window1: blendMode = 'avg'
20.6530 	EXP 	window1: blendMode = 'avg'
20.6690 	EXP 	window1: blendMode = 'avg'
20.6860 	EXP 	window1: blendMode = 'avg'
20.7032 	EXP 	window1: blendMode = 'avg'
20.7189 	EXP 	window1: blendMode = 'avg'
20.7360 	EXP 	window1: blendMode = 'avg'
20.7520 	EXP 	window1: blendMode = 'avg'
20.7690 	EXP 	window1: blendMode = 'avg'
20.7863 	EXP 	window1: blendMode = 'avg'
20.8020 	EXP 	window1: blendMode = 'avg'
20.8190 	EXP 	window1: blendMode = 'avg'
20.8360 	EXP 	window1: blendMode = 'avg'
20.8530 	EXP 	window1: blendMode = 'avg'
20.8690 	EXP 	window1: blendMode = 'avg'
20.8860 	EXP 	window1: blendMode = 'avg'
